1a|Hwæt! wē Gār-Dena
2276a|hlāw under hrūsan,
2276b|þǣr hē hǣðen gold
2277a|warað wintrum frōd;
2277b|ne byð him wihte þē sēl.
2278a|Swā se þēod‐sceaða
2278b|þrēo hund wintra
2279a|hēold on hrūsan
2279b|hord‐ærna sum
2280a|ēacen‐cræftig,
2280b|oð þæt hyne ān ābealh
2281a|mon on mōde:
2281b|man‐dryhtne bær
2282a|fǣted wǣge,
2282b|frioðo‐wǣre bæd
2283a|hlāford sīnne.
2283b|Þā wæs hord rāsod,
2284a|onboren bēaga hord,
2284b|bēne getīðad
2285a|fēa‐sceaftum men.
2285b|Frēa scēawode
2286a|fīra fyrn‐geweorc
2286b|forman sīðe.
2287a|Þā se wyrm onwōc,
2287b|wrōht wæs genīwad;
2288a|stonc þā æfter stāne,
2288b|stearc‐heort onfand
2289a|fēondes fōt‐lāst;
2289b|hē tō forð gestōp,
2290a|dyrnan cræfte,
2290b|dracan hēafde nēah.
2291a|Swā mæg unfǣge
2291b|ēaðe gedīgan
2292a|wēan and wræc‐sīð,
2292b|sē þe waldendes
2293a|hyldo gehealdeð.
2293b|Hord‐weard sōhte
2294a|georne æfter grunde,
2294b|wolde guman findan,
2295a|þone þe him on sweofote
2295b|sāre getēode:
2296a|hāt and hrēoh‐mōd
2296b|hlǣw oft ymbe hwearf,
2297a|ealne ūtan‐weardne;
2297b|nē þǣr ǣnig mon
2298a|wæs on þǣre wēstenne.
2298b|Hwæðre hilde gefeh,
2299a|beado‐weorces:
2299b|hwīlum on beorh æthwearf,
2300a|sinc‐fæt sōhte;
2300b|hē þæt sōna onfand,
2301a|þæt hæfde gumena sum
2301b|goldes gefandod
2302a|hēah‐gestrēona.
2302b|Hord‐weard onbād
2303a|earfoðlīce,
2303b|oð þæt ǣfen cwōm;
2304a|wæs þā gebolgen
2304b|beorges hyrde,
2305a|wolde se lāða
2305b|līge forgyldan
2306a|drinc‐fæt dȳre.
2306b|Þā wæs dæg sceacen
2307a|wyrme on willan,
2307b|nō on wealle leng
2308a|bīdan wolde,
2308b|ac mid bǣle fōr,
2309a|fȳre gefȳsed.
2309b|Wæs se fruma egeslīc
2310a|lēodum on lande,
2310b|swā hyt lungre wearð
2311a|on hyra sinc‐gifan
2311b|sāre geendod.
2312a|Þā se gæst ongan
2312b|glēdum spīwan,
2313a|beorht hofu bærnan;
2313b|bryne‐lēoma stōd
2314a|eldum on andan;
2314b|nō þǣr āht cwices
2315a|lāð lyft‐floga
2315b|lǣfan wolde.
2316a|Wæs þæs wyrmes wīg
2316b|wīde gesȳne,
2317a|nearo‐fāges nīð
2317b|nēan and feorran,
2318a|hū se gūð‐sceaða
2318b|Gēata lēode
2319a|hatode and hȳnde:
2319b|hord eft gescēat,
2320a|dryht‐sele dyrnne
2320b|ǣr dæges hwīle.
2321a|Hæfde land‐wara
2321b|līge befangen,
2322a|bǣle and bronde;
2322b|beorges getruwode,
2323a|wīges and wealles:
2323b|him sēo wēn gelēah.
2324a|Þā wæs Bīowulfe
2324b|brōga gecȳðed
2325a|snūde tō sōðe,
2325b|þæt his sylfes him
2326a|bolda sēlest
2326b|bryne‐wylmum mealt,
2327a|gif‐stōl Gēata.
2327b|Þæt þām gōdan wæs
2328a|hrēow on hreðre,
2328b|hyge‐sorga mǣst:
2329a|wēnde se wīsa,
2329b|þæt hē wealdende,
2330a|ofer ealde riht,
2330b|ēcean dryhtne
2331a|bitre gebulge:
2331b|brēost innan wēoll
2332a|þēostrum geþoncum,
2332b|swā him geþȳwe ne wæs.
2333a|Hæfde līg‐draca
2333b|lēoda fæsten,
2334a|ēa‐lond ūtan,
2334b|eorð‐weard þone
2335a|glēdum forgrunden.
2335b|Him þæs gūð‐cyning,
2336a|Wedera þīoden,
2336b|wræce leornode.
2337a|Heht him þā gewyrcean
2337b|wīgendra hlēo
2338a|eall‐īrenne,
2338b|eorla dryhten
2339a|wīg‐bord wrǣtlīc;
2339b|wisse hē gearwe,
2340a|þæt him holt‐wudu
2340b|helpan ne meahte,
2341a|lind wið līge.
2341b|Sceolde lǣn‐daga
2342a|æðeling ǣr‐gōd
2342b|ende gebīdan
2343a|worulde līfes
2343b|and se wyrm somod;
2344a|þēah þe hord‐welan
2344b|hēolde lange.
2345a|Oferhogode þā
2345b|hringa fengel,
2346a|þæt hē þone wīd‐flogan
2346b|weorode gesōhte,
2347a|sīdan herge;
2347b|nō hē him þā sæcce ondrēd,
2348a|nē him þæs wyrmes wīg
2348b|for wiht dyde,
2349a|eafoð and ellen;
2349b|forþon hē ǣr fela
2350a|nearo nēðende
2350b|nīða gedīgde,
2351a|hilde‐hlemma,
2351b|syððan hē Hrōðgāres,
2352a|sigor‐ēadig secg,
2352b|sele fǣlsode
2353a|and æt gūðe forgrāp
2353b|Grendeles mǣgum,
2354a|lāðan cynnes.
2354b|Nō þæt lǣsest wæs
2355a|hond‐gemota,
2355b|þǣr mon Hygelāc slōh,
2356a|syððan Gēata cyning
2356b|gūðe rǣsum,
2357a|frēa‐wine folces
2357b|Frēslondum on,
2358a|Hrēðles eafora
2358b|hioro‐dryncum swealt,
2359a|bille gebēaten;
2359b|þonan Bīowulf cōm
2360a|sylfes cræfte,
2360b|sund‐nytte drēah;
2361a|hæfde him on earme
2361b|... XXX
2362a|hilde‐geatwa,
2362b|þā hē tō holme stāg.
2363a|Nealles Hetware
2363b|hrēmge þorfton
2364a|fēðe‐wīges,
2364b|þē him foran ongēan
2365a|linde bǣron:
2365b|lȳt eft becwōm
2366a|fram þām hild‐frecan
2366b|hāmes nīosan.
2367a|Oferswam þā sioleða bigong
2367b|sunu Ecgþēowes,
2368a|earm ān‐haga
2368b|eft tō lēodum,
2369a|þǣr him Hygd gebēad
2369b|hord and rīce,
2370a|bēagas and brego‐stōl:
2370b|bearne ne truwode,
2371a|þæt hē wið æl‐fylcum
2371b|ēðel‐stōlas
2372a|healdan cūðe,
2372b|þā wæs Hygelāc dēad.
2373a|Nō þȳ ǣr fēa‐sceafte
2373b|findan meahton
2374a|æt þām æðelinge
2374b|ǣnige þinga,
2375a|þæt hē Heardrēde
2375b|hlāford wǣre,
2376a|oððe þone cyne‐dōm
2376b|cīosan wolde;
2377a|hwæðre hē him on folce
2377b|frēond‐lārum hēold,
2378a|ēstum mid āre,
2378b|oð þæt hē yldra wearð,
2379a|Weder‐Gēatum wēold.
2379b|Hyne wræc‐mæcgas
2380a|ofer sǣ sōhtan,
2380b|suna Ōhteres:
2381a|hæfdon hȳ forhealden
2381b|helm Scylfinga,
2382a|þone sēlestan
2382b|sǣ‐cyninga,
2383a|þāra þe in Swīo‐rīce
2383b|sinc brytnade,
2384a|mǣrne þēoden.
2384b|Him þæt tō mearce wearð;
2385a|hē þǣr orfeorme
2385b|feorh‐wunde hlēat
2386a|sweordes swengum,
2386b|sunu Hygelāces;
2387a|and him eft gewāt
2387b|Ongenþīowes bearn
2388a|hāmes nīosan,
2388b|syððan Heardrēd læg;
2389a|lēt þone brego‐stōl
2389b|Bīowulf healdan,
2390a|Gēatum wealdan:
2390b|þæt wæs gōd cyning.
2391a|Sē þæs lēod‐hryres
2391b|lēan gemunde
2392a|uferan dōgrum,
2392b|Ēadgilse wearð
2393a|fēa‐sceaftum fēond.
2393b|Folce gestepte
2394a|ofer sǣ sīde
2394b|sunu Ōhteres
2395a|wigum and wǣpnum:
2395b|hē gewræc syððan
2396a|cealdum cear‐sīðum,
2396b|cyning ealdre binēat.
2397a|Swā hē nīða gehwane
2397b|genesen hæfde,
2398a|slīðra geslyhta,
2398b|sunu Ecgþīowes,
2399a|ellen‐weorca,
2399b|oð þone ānne dæg,
2400a|þē hē wið þām wyrme
2400b|gewegan sceolde.
2401a|Gewāt þā twelfa sum
2401b|torne gebolgen
2402a|dryhten Gēata
2402b|dracan scēawian;
2403a|hæfde þā gefrūnen,
2403b|hwanan sīo fǣhð ārās,
2404a|bealo‐nīð biorna;
2404b|him tō bearme cwōm
2405a|māððum‐fæt mǣre
2405b|þurh þæs meldan hond,
2406a|Sē wæs on þām þrēate
2406b|þreotteoða secg,
2407a|sē þæs orleges
2407b|ōr onstealde,
2408a|hæft hyge‐giōmor,
2408b|sceolde hēan þonon
2409a|wong wīsian:
2409b|hē ofer willan gīong
2410a|tō þæs þe hē eorð‐sele
2410b|ānne wisse,
2411a|hlǣw under hrūsan
2411b|holm‐wylme nēh,
2412a|ȳð‐gewinne,
2412b|sē wæs innan full
2413a|wrǣtta and wīra:
2413b|weard unhīore,
2414a|gearo gūð‐freca,
2414b|gold‐māðmas hēold,
2415a|eald under eorðan;
2415b|næs þæt ȳðe cēap,
2416a|tō gegangenne
2416b|gumena ǣnigum.
2417a|Gesæt þā on næsse
2417b|nīð‐heard cyning,
2418a|þenden hǣlo ābēad
2418b|heorð‐genēatum
2419a|gold‐wine Gēata:
2419b|him wæs geōmor sefa,
2420a|wǣfre and wæl‐fūs,
2420b|Wyrd ungemete nēah,
2421a|sē þone gomelan
2421b|grētan sceolde,
2422a|sēcean sāwle hord,
2422b|sundur gedǣlan
2423a|līf wið līce:
2423b|nō þon lange wæs
2424a|feorh æðelinges
2424b|flǣsce bewunden.
2425a|Bīowulf maðelade,
2425b|bearn Ecgþēowes:
2426a|"Fela ic on giogoðe
2426b|guð‐rǣsa genæs,
2427a|orleg‐hwīla:
2427b|ic þæt eall gemon.
2428a|Ic wæs syfan‐wintre,
2428b|þā mec sinca baldor,
2429a|frēa‐wine folca
2429b|æt mīnum fæder genam,
2430a|hēold mec and hæfde
2430b|Hrēðel cyning,
2431a|geaf mē sinc and symbel,
2431b|sibbe gemunde;
2432a|næs ic him tō līfe
2432b|lāðra ōwihte
2433a|beorn in burgum,
2433b|þonne his bearna hwylc,
2434a|Herebeald and Hæðcyn,
2434b|oððe Hygelāc mīn.
2435a|Wæs þām yldestan
2435b|ungedēfelīce
2436a|mǣges dǣdum
2436b|morðor‐bed strēd,
2437a|syððan hyne Hæðcyn
2437b|of horn‐bogan,
2438a|his frēa‐wine
2438b|flāne geswencte,
2439a|miste mercelses
2439b|and his mǣg ofscēt,
2440a|brōðor ōðerne,
2440b|blōdigan gāre:
2441a|þæt wæs feoh‐lēas gefeoht,
2441b|fyrenum gesyngad
2442a|hreðre hyge‐mēðe;
2442b|sceolde hwæðre swā þēah
2443a|æðeling unwrecen
2443b|ealdres linnan.
2444a|Swā bið geōmorlīc
2444b|gomelum ceorle
2445a|tō gebīdanne,
2445b|þæt his byre rīde
2446a|giong on galgan,
2446b|þonne hē gyd wrece,
2447a|sārigne sang,
2447b|þonne his sunu hangað
2448a|hrefne tō hrōðre
2448b|and hē him helpe ne mæg,
2449a|eald and in‐frōd,
2449b|ǣnige gefremman.
2450a|Symble bið gemyndgad
2450b|morna gehwylce
2451a|eaforan ellor‐sīð;
2451b|ōðres ne gȳmeð
2452a|tō gebīdanne
2452b|burgum on innan
2453a|yrfe‐weardes,
2453b|þonne se ān hafað
2454a|þurh dēaðes nȳd
2454b|dǣda gefondad.
2455a|Gesyhð sorh‐cearig
2455b|on his suna būre
2456a|wīn‐sele wēstne,
2456b|wind‐gereste,
2457a|rēote berofene;
2457b|rīdend swefað
2458a|hæleð in hoðman;
2458b|nis þǣr hearpan swēg,
2459a|gomen in geardum,
2459b|swylce þǣr iū wǣron.
2460a|"Gewīteð þonne on sealman,
2460b|sorh‐lēoð gæleð
2461a|ān æfter ānum:
2461b|þūhte him eall tō rūm,
2462a|wongas and wīc‐stede.
2462b|Swā Wedra helm
2463a|æfter Herebealde
2463b|heortan sorge
2464a|weallende wæg,
2464b|wihte ne meahte
2465a|on þām feorh‐bonan
2465b|fǣhðe gebētan:
2466a|nō þȳ ǣr hē þone heaðo‐rinc
2466b|hatian ne meahte
2467a|lāðum dǣdum,
2467b|þēah him lēof ne wæs.
2468a|Hē þā mid þǣre sorge,
2468b|þē him sīo sār belamp,
2469a|gum‐drēam ofgeaf,
2469b|godes lēoht gecēas;
2470a|eaferum lǣfde,
2470b|swā dēð ēadig mon,
2471a|lond and lēod‐byrig,
2471b|þā hē of līfe gewāt.
2472a|Þā wæs synn and sacu
2472b|Swēona and Gēata,
2473a|ofer wīd wæter
2473b|wrōht gemǣne,
2474a|here‐nīð hearda,
2474b|syððan Hrēðel swealt,
2475a|oððe him Ongenþēowes
2475b|eaferan wǣran
2476a|frome fyrd‐hwate,
2476b|frēode ne woldon
2477a|ofer heafo healdan,
2477b|ac ymb Hrēosna‐beorh
2478a|eatolne inwit‐scear
2478b|oft gefremedon.
2479a|Þæt mǣg‐wine
2479b|mīne gewrǣcan,
2480a|fǣhðe and fyrene,
2480b|swā hyt gefrǣge wæs,
2481a|þēah þe ōðer hit
2481b|ealdre gebohte,
2482a|heardan cēape:
2482b|Hæðcynne wearð,
2483a|Gēata dryhtne,
2483b|gūð onsǣge.
2484a|Þā ic on morgne gefrægn
2484b|mǣg ōðerne
2485a|billes ecgum
2485b|on bonan stǣlan,
2486a|þǣr Ongenþēow
2486b|Eofores nīosade:
2487a|gūð‐helm tōglād,
2487b|gomela Scylfing
2488a|hrēas heoro‐blāc;
2488b|hond gemunde
2489a|fǣhðo genōge,
2489b|feorh‐sweng ne oftēah.
2490a|Ic him þā māðmas,
2490b|þē hē mē sealde,
2491a|geald æt gūðe,
2491b|swā mē gifeðe wæs,
2492a|lēohtan sweorde:
2492b|hē mē lond forgeaf,
2493a|eard ēðel‐wyn.
2493b|Næs him ǣnig þearf,
2494a|þæt hē tō Gifðum
2494b|oððe tō Gār‐Denum
2495a|oððe in Swīo‐rīce
2495b|sēcean þurfe
2496a|wyrsan wīg‐frecan,
2496b|weorðe gecȳpan;
2497a|symle ic him on fēðan
2497b|beforan wolde,
2498a|āna on orde,
2498b|and swā tō aldre sceall
2499a|sæcce fremman,
2499b|þenden þis sweord þolað,
2500a|þæt mec ǣr and sīð
2500b|oft gelǣste,
2501a|syððan ic for dugeðum
2501b|Dæghrefne wearð
2502a|tō hand‐bonan,
2502b|Hūga cempan:
2503a|nalles hē þā frætwe
2503b|Frēs‐cyninge,
2504a|brēost‐weorðunge
2504b|bringan mōste,
2505a|ac in campe gecrong
2505b|cumbles hyrde,
2506a|æðeling on elne.
2506b|Ne wæs ecg bona,
2507a|ac him hilde‐grāp
2507b|heortan wylmas,
2508a|bān‐hūs gebræc.
2508b|Nū sceall billes ecg,
2509a|hond and heard sweord
2509b|ymb hord wīgan."
2510a|Bēowulf maðelode,
2510b|bēot‐wordum spræc
2511a|nīehstan sīðe:
2511b|"Ic genēðde fela
2512a|gūða on geogoðe;
2512b|gȳt ic wylle,
2513a|frōd folces weard,
2513b|fǣhðe sēcan,
2514a|mǣrðum fremman,
2514b|gif mec se mān‐sceaða
2515a|of eorð‐sele
2515b|ūt gesēceð!"
2516a|Gegrētte þā
2516b|gumena gehwylcne,
2517a|hwate helm‐berend
2517b|hindeman sīðe,
2518a|swǣse gesīðas:
2518b|"Nolde ic sweord beran,
2519a|wǣpen tō wyrme,
2519b|gif ic wiste hū
2520a|wið þām āglǣcean
2520b|elles meahte
2521a|gylpe wiðgrīpan,
2521b|swā ic giō wið Grendle dyde;
2522a|ac ic þǣr heaðu‐fȳres
2522b|hātes wēne,
2523a|rēðes and‐hāttres:
2523b|forþon ic mē on hafu
2524a|bord and byrnan.
2524b|Nelle ic beorges weard
2525a|oferflēon fōtes trem,
2525b|fēond unhȳre,
2526a|ac unc sceal weorðan æt wealle,
2526b|swā unc Wyrd getēoð,
2527a|metod manna gehwæs.
2527b|Ic eom on mōde from,
2528a|þæt ic wið þone gūð‐flogan
2528b|gylp ofersitte.
2529a|Gebīde gē on beorge
2529b|byrnum werede,
2530a|secgas on searwum,
2530b|hwæðer sēl mǣge
2531a|æfter wæl‐rǣse
2531b|wunde gedȳgan
2532a|uncer twēga.
2532b|Nis þæt ēower sīð,
2533a|nē gemet mannes,
2533b|nefne mīn ānes,
2534a|þæt hē wið āglǣcean
2534b|eofoðo dǣle,
2535a|eorl‐scype efne.
2535b|Ic mid elne sceall
2536a|gold gegangan
2536b|oððe gūð nimeð,
2537a|feorh‐bealu frēcne,
2537b|frēan ēowerne!"
2538a|Ārās þā bī ronde
2538b|rōf ōretta,
2539a|heard under helm,
2539b|hioro‐sercean bær
2540a|under stān‐cleofu,
2540b|strengo getruwode
2541a|ānes mannes:
2541b|ne bið swylc earges sīð.
2542a|Geseah þā be wealle,
2542b|sē þe worna fela,
2543a|gum‐cystum gōd,
2543b|gūða gedīgde,
2544a|hilde‐hlemma,
2544b|þonne hnitan fēðan,
2545a|(stōd on stān‐bogan)
2545b|strēam ūt þonan
2546a|brecan of beorge;
2546b|wæs þǣre burnan wælm
2547a|heaðo‐fȳrum hāt:
2547b|ne meahte horde nēah
2548a|unbyrnende
2548b|ǣnige hwīle
2549a|dēop gedȳgan
2549b|for dracan lēge.
2550a|Lēt þā of brēostum,
2550b|þā hē gebolgen wæs,
2551a|Weder‐Gēata lēod
2551b|word ūt faran,
2552a|stearc‐heort styrmde;
2552b|stefn in becōm
2553a|heaðo‐torht hlynnan
2553b|under hārne stān.
2554a|Hete wæs onhrēred,
2554b|hord‐weard oncnīow
2555a|mannes reorde;
2555b|næs þǣr māra fyrst,
2556a|frēode tō friclan.
2556b|From ǣrest cwōm
2557a|oruð āglǣcean
2557b|ūt of stāne,
2558a|hāt hilde‐swāt;
2558b|hrūse dynede.
2559a|Biorn under beorge
2559b|bord‐rand onswāf
2560a|wið þām gryre‐gieste,
2560b|Gēata dryhten:
2561a|þā wæs hring‐bogan
2561b|heorte gefȳsed
2562a|sæcce tō sēceanne.
2562b|Sweord ǣr gebrǣ
2563a|gōd gūð‐cyning
2563b|gomele lāfe,
2564a|ecgum unglēaw,
2564b|ǣghwæðrum wæs
2565a|bealo‐hycgendra
2565b|brōga fram ōðrum.
2566a|Stīð‐mōd gestōd
2566b|wið stēapne rond
2567a|winia bealdor,
2567b|þā se wyrm gebēah
2568a|snūde tōsomne:
2568b|hē on searwum bād.
2569a|Gewāt þā byrnende
2569b|gebogen scrīðan tō,
2570a|gescīfe scyndan.
2570b|Scyld wēl gebearg
2571a|līfe and līce
2571b|lǣssan hwīle
2572a|mǣrum þēodne,
2572b|þonne his myne sōhte,
2573a|þǣr hē þȳ fyrste
2573b|forman dōgore
2574a|wealdan mōste,
2574b|swā him Wyrd ne gescrāf
2575a|hrēð æt hilde.
2575b|Hond up ābræd
2576a|Gēata dryhten,
2576b|gryre‐fāhne slōh
2577a|incge lāfe,
2577b|þæt sīo ecg gewāc
2578a|brūn on bāne,
2578b|bāt unswīðor,
2579a|þonne his þīod‐cyning
2579b|þearfe hæfde,
2580a|bysigum gebǣded.
2580b|Þā wæs beorges weard
2581a|æfter heaðu‐swenge
2581b|on hrēoum mōde,
2582a|wearp wæl‐fȳre,
2582b|wīde sprungon
2583a|hilde‐lēoman:
2583b|hrēð‐sigora ne gealp
2584a|gold‐wine Gēata,
2584b|gūð‐bill geswāc
2585a|nacod æt nīðe,
2585b|swā hyt nō sceolde,
2586a|īren ǣr‐gōd.
2586b|Ne wæs þæt ēðe sīð,
2587a|þæt se mǣra
2587b|maga Ecgþēowes
2588a|grund‐wong þone
2588b|ofgyfan wolde;
2589a|sceolde wyrmes willan
2589b|wīc eardian
2590a|elles hwergen,
2590b|swā sceal ǣghwylc mon
2591a|ālǣtan lǣn‐dagas.
2591b|Næs þā long tō þon,
2592a|þæt þā āglǣcean
2592b|hȳ eft gemētton.
2593a|Hyrte hyne hord‐weard,
2593b|hreðer ǣðme wēoll,
2594a|nīwan stefne:
2594b|nearo þrowode
2595a|fȳre befongen
2595b|sē þe ǣr folce wēold.
2596a|Nealles him on hēape
2596b|hand‐gesteallan,
2597a|æðelinga bearn
2597b|ymbe gestōdon
2598a|hilde‐cystum,
2598b|ac hȳ on holt bugon,
2599a|ealdre burgan.
2599b|Hiora in ānum wēoll
2600a|sefa wið sorgum:
2600b|sibb ǣfre ne mæg
2601a|wiht onwendan,
2601b|þām þe wēl þenceð.
2602a|Wīglāf wæs hāten
2602b|Wēoxstānes sunu,
2603a|lēoflīc lind‐wiga,
2603b|lēod Scylfinga,
2604a|mǣg Ælfheres:
2604b|geseah his mon‐dryhten
2605a|under here‐grīman
2605b|hāt þrowian.
2606a|Gemunde þā þā āre,
2606b|þē hē him ǣr forgeaf
2607a|wīc‐stede weligne
2607b|Wǣgmundinga,
2608a|folc‐rihta gehwylc,
2608b|swā his fæder āhte;
2609a|ne mihte þā forhabban,
2609b|hond rond gefēng,
2610a|geolwe linde,
2610b|gomel swyrd getēah,
2611a|þæt wæs mid eldum
2611b|Ēanmundes lāf,
2612a|suna Ōhteres,
2612b|þām æt sæcce wearð
2613a|wracu wine‐lēasum
2613b|Wēohstānes bana
2614a|mēces ecgum,
2614b|and his māgum ætbær
2615a|brūn‐fāgne helm,
2615b|hringde byrnan,
2616a|eald sweord eotonisc,
2616b|þæt him Onela forgeaf,
2617a|his gædelinges
2617b|gūð‐gewǣdu,
2618a|fyrd‐searo fūslīc:
2618b|nō ymbe þā fǣhðe spræc,
2619a|þēah þe hē his brōðor
2619b|bearn ābredwade.
2620a|Hē frætwe gehēold
2620b|fela missēra,
2621a|bill and byrnan,
2621b|oð þæt his byre mihte
2622a|eorl‐scipe efnan,
2622b|swā his ǣr‐fæder;
2623a|geaf him þā mid Gēatum
2623b|gūð‐gewǣda
2624a|ǣghwæs unrīm;
2624b|þā hē of ealdre gewāt,
2625a|frōd on forð‐weg.
2625b|Þā wæs forma sīð
2626a|geongan cempan,
2626b|þæt hē gūðe rǣs
2627a|mid his frēo‐dryhtne
2627b|fremman sceolde;
2628a|ne gemealt him se mōd‐sefa,
2628b|nē his mǣges lāf
2629a|gewāc æt wīge:
2629b|þæt se wyrm onfand,
2630a|syððan hīe tōgædre
2630b|gegān hæfdon.
2631a|Wīglāf maðelode
2631b|word‐rihta fela,
2632a|sægde gesīðum,
2632b|him wæs sefa geōmor:
2633a|"Ic þæt mǣl geman,
2633b|þǣr wē medu þēgun,
2634a|þonne wē gehēton
2634b|ūssum hlāforde
2635a|in bīor‐sele,
2635b|þē ūs þās bēagas geaf,
2636a|þæt wē him þā gūð‐geatwa
2636b|gyldan woldon,
2637a|gif him þyslīcu
2637b|þearf gelumpe,
2638a|helmas and heard sweord:
2638b|þē hē ūsic on herge gecēas
2639a|tō þyssum sīð‐fate
2639b|sylfes willum,
2640a|onmunde ūsic mǣrða
2640b|and mē þās māðmas geaf,
2641a|þē hē ūsic gār‐wīgend
2641b|gōde tealde,
2642a|hwate helm‐berend,
2642b|þēah þe hlāford ūs
2643a|þis ellen‐weorc
2643b|āna āþōhte
2644a|tō gefremmanne,
2644b|folces hyrde,
2645a|forþām hē manna mǣst
2645b|mǣrða gefremede,
2646a|dǣda dollīcra.
2646b|Nū is sē dæg cumen,
2647a|þæt ūre man‐dryhten
2647b|mægenes behōfað
2648a|gōdra gūð‐rinca:
2648b|wutun gangan tō,
2649a|helpan hild‐fruman,
2649b|þenden hyt sȳ,
2650a|glēd‐egesa grim!
2650b|God wāt on mec,
2651a|þæt mē is micle lēofre,
2651b|þæt mīnne līc‐haman
2652a|mid mīnne gold‐gyfan
2652b|glēd fæðmie.
2653a|Ne þynceð mē gerysne,
2653b|þæt wē rondas beren
2654a|eft tō earde,
2654b|nemne wē ǣror mǣgen
2655a|fāne gefyllan,
2655b|feorh ealgian
2656a|Wedra þīodnes.
2656b|Ic wāt geare,
2657a|þæt nǣron eald‐gewyrht,
2657b|þæt hē āna scyle
2658a|Gēata duguðe
2658b|gnorn þrowian,
2659a|gesīgan æt sæcce:
2659b|sceal ūrum þæt sweord and helm,
2660a|byrne and byrdu‐scrūd
2660b|bām gemǣne."
2661a|Wōd þā þurh þone wæl‐rēc,
2661b|wīg‐heafolan bær
2662a|frēan on fultum,
2662b|fēa worda cwæð:
2663a|"Lēofa Bīowulf,
2663b|lǣst eall tela,
2664a|swā þū on geoguð‐fēore
2664b|geāra gecwǣde,
2665a|þæt þū ne ālǣte
2665b|be þē lifigendum
2666a|dōm gedrēosan:
2666b|scealt nū dǣdum rōf,
2667a|æðeling ān‐hȳdig,
2667b|ealle mægene
2668a|feorh ealgian;
2668b|ic þē fullǣstu!"
2669a|Æfter þām wordum
2669b|wyrm yrre cwōm,
2670a|atol inwit‐gæst
2670b|ōðre sīðe,
2671a|fȳr‐wylmum fāh
2671b|fīonda nīosan,
2672a|lāðra manna;
2672b|līg‐ȳðum forborn
2673a|bord wið ronde:
2673b|byrne ne meahte
2674a|geongum gār‐wigan
2674b|gēoce gefremman:
2675a|ac se maga geonga
2675b|under his mǣges scyld
2676a|elne geēode,
2676b|þā his āgen wæs
2677a|glēdum forgrunden.
2677b|Þā gēn gūð‐cyning
2678a|mǣrða gemunde,
2678b|mægen‐strengo,
2679a|slōh hilde‐bille,
2679b|þæt hyt on heafolan stōd
2680a|nīðe genȳded:
2680b|Nægling forbærst,
2681a|geswāc æt sæcce
2681b|sweord Bīowulfes
2682a|gomol and grǣg‐mǣl.
2682b|Him þæt gifeðe ne wæs,
2683a|þæt him īrenna
2683b|ecge mihton
2684a|helpan æt hilde;
2684b|wæs sīo hond tō strong,
2685a|sē þe mēca gehwane
2685b|mīne gefrǣge
2686a|swenge ofersōhte,
2686b|þonne hē tō sæcce bær
2687a|wǣpen wundrum heard,
2687b|næs him wihte þē sēl.
2688a|Þā wæs þēod‐sceaða
2688b|þriddan sīðe,
2689a|frēcne fȳr‐draca
2689b|fǣhða gemyndig,
2690a|rǣsde on þone rōfan,
2690b|þā him rūm āgeald,
2691a|hāt and heaðo‐grim,
2691b|heals ealne ymbefēng
2692a|biteran bānum;
2692b|hē geblōdegod wearð
2693a|sāwul‐drīore;
2693b|swāt ȳðum wēoll.
2694a|Þā ic æt þearfe gefrægn
2694b|þēod‐cyninges
2695a|and‐longne eorl
2695b|ellen cȳðan,
2696a|cræft and cēnðu,
2696b|swā him gecynde wæs;
2697a|ne hēdde hē þæs heafolan,
2697b|ac sīo hand gebarn
2698a|mōdiges mannes,
2698b|þǣr hē his mǣges healp,
2699a|þæt hē þone nīð‐gæst
2699b|nioðor hwēne slōh,
2700a|secg on searwum,
2700b|þæt þæt sweord gedēaf
2701a|fāh and fǣted,
2701b|þæt þæt fȳr ongon
2702a|sweðrian syððan.
2702b|Þā gēn sylf cyning
2703a|gewēold his gewitte,
2703b|wæll‐seaxe gebrǣ,
2704a|biter and beadu‐scearp,
2704b|þæt hē on byrnan wæg:
2705a|forwrāt Wedra helm
2705b|wyrm on middan.
2706a|Fēond gefyldan
2706b|(ferh ellen wræc),
2707a|and hī hyne þā bēgen
2707b|ābroten hæfdon,
2708a|sib‐æðelingas:
2708b|swylc sceolde secg wesan,
2709a|þegn æt þearfe.
2709b|Þæt þām þēodne wæs
2710a|sīðast sīge‐hwīle
2710b|sylfes dǣdum,
2711a|worlde geweorces.
2711b|Þā sīo wund ongon,
2712a|þē him se eorð‐draca
2712b|ǣr geworhte,
2713a|swelan and swellan.
2713b|Hē þæt sōna onfand,
2714a|þæt him on brēostum
2714b|bealo‐nīð wēoll,
2715a|attor on innan.
2715b|Þā se æðeling gīong,
2716a|þæt hē bī wealle,
2716b|wīs‐hycgende,
2717a|gesæt on sesse;
2717b|seah on enta geweorc,
2718a|hū þā stān‐bogan
2718b|stapulum fæste
2719a|ēce eorð‐reced
2719b|innan hēoldon.
2720a|Hyne þā mid handa
2720b|heoro‐drēorigne
2721a|þēoden mǣrne
2721b|þegn ungemete till,
2722a|wine‐dryhten his
2722b|wætere gelafede,
2723a|hilde‐sædne
2723b|and his helm onspēon.
2724a|Bīowulf maðelode,
2724b|hē ofer benne spræc,
2725a|wunde wæl‐blēate
2725b|(wisse hē gearwe,
